iso,co2_1850_2015,fair_share_350,overshoot_350,pct_overshoot_350,fair_share_15C,overshoot_15C,pct_overshoot_15C,fair_share_2C,overshoot_2C,pct_overshoot_2C
ABW,31891595.2,22369980.921636384,9521614.278363615,1.4256424854235907,54167372.7886559,,0.5887602362483224,74379308.14768192,,0.4287697209643099
AFG,202305325.0,2669211335.8367662,,0.07579217212359833,6463311970.916061,,0.03130056632115914,8875022877.979532,,0.022794907436459066
AGO,330632697.0,1875671775.483192,,0.1762742828045305,4541810413.145673,,0.07279755580352433,6236535000.243917,,0.05301544799910024
ALB,310171792.0,428381335.4670403,,0.7240553364955478,1037295989.443697,,0.29901956158757104,1424351118.8961582,,0.2177635752063554
AND,11016300.0,1716835.9382917248,9299464.061708275,6.416629425267838,4157200.339695548,6859099.660304451,2.6499324304411025,5708412.078693613,5307887.921306387,1.9298361520041336
ARE,3853416267.6,262479406.2414903,3590936861.3585095,14.680832766189363,635575859.3194104,3217840408.2805896,6.062873866427728,872733718.8014137,2980682548.7985864,4.415340194363255
ARG,7640311840.0,4492400574.556594,3147911265.443406,1.7007191841422353,10878039524.951832,,0.7023611030714499,14937055504.351566,,0.5115005322015554
ARM,231677911.6,461126038.2004602,,0.5024177608883696,1116585038.7293558,,0.20748792395037222,1533225969.676993,,0.15110487050307916
ATG,29025771.839999992,14294886.85753616,14730884.982463833,2.0305002851210268,34614086.98095471,,0.8385537326456276,47529937.47458026,,0.6106839895491851
AUS,16842307840.0,2580557102.466882,14261750737.533117,6.526616994407759,6248641832.168007,10593666007.831993,2.695354973507331,8580251033.268778,8262056806.731222,1.9629155108278533
AUT,6246992530.0,1862019906.6214612,4384972623.378539,3.3549547498312435,4508753350.089353,1738239179.9106474,1.3855254534773342,6191143072.355579,55849457.644420624,1.0090208636743991
AZE,2295658854.5,1049098279.2642598,1246560575.2357402,2.1882209702125928,2540319447.9205513,,0.9036890444543009,3488210582.9212837,,0.6581193422609958
BDI,36275096.5,849347952.9627148,,0.04270934706260772,2056637748.4441638,,0.017638058295605014,2824048591.696134,,0.012845068107773968
BEL,11738698550.0,2271813991.0938497,9466884558.90615,5.167103731211712,5501041587.525098,6237656962.474902,2.133904709359088,7553692311.572335,4185006238.4276648,1.5540345126338004
BEN,101636266.19999999,802761244.2506732,,0.12660833707146762,1943831232.1292145,,0.052286569183617175,2669149614.5795383,,0.03807814505595273
BFA,81831478.39999999,1507250473.6062765,,0.05429189098491933,3649703527.9427958,,0.022421404306811023,5011548638.544836,,0.016328581103776486
BGD,1336841710.0,15742219837.941017,,0.08492078777721163,38118704413.286934,,0.03507049178549785,52342262801.049995,,0.025540388176973936
BGR,3351512170.0,1877625509.411018,1473886660.588982,1.7849737091883235,4546541245.700654,,0.7371564424207722,6243031088.835383,,0.5368405382432931
BHR,581170654.0,69830081.78680973,511340572.21319026,8.322640316737791,169088748.23178703,412081905.768213,3.437074672782666,232182279.8773765,348988374.1226235,2.5030792802402333
BHS,209348949.0,34165882.07656831,175183066.9234317,6.127427020055658,82730337.4811888,126618611.5188112,2.530497945177628,113600216.2904189,95748732.7095811,1.8428569578142309
BIH,919607567.0,815352319.383984,104255247.61601603,1.1278652738668642,1974319656.0105402,,0.46578453706844447,2711014444.975765,,0.33921160719164695
BLR,2845318589.65,1935030705.3381124,910287884.3118877,1.4704255502513233,4685543985.965901,,0.6072546961830414,6433901111.125375,,0.44223847095348284
BLZ,31392635.2,26820605.51710412,4572029.68289588,1.1704670567553068,64944254.64875124,,0.4833781736319246,89177460.1620079,,0.35202432478979867
