iso,overshoot_350
ABW,9521614
AFG,-2466906011
AGO,-1545039078
ALB,-118209543
AND,9299464
ARE,3590936861
ARG,3147911265
ARM,-229448127
ATG,14730885
AUS,14261750738
AUT,4384972623
AZE,1246560575
BDI,-813072856
BEL,9466884559
BEN,-701124978
BFA,-1425418995
BGD,-14405378128
BGR,1473886661
BHR,511340572
BHS,175183067
BIH,104255248
BLR,910287884
BLZ,4572030
BMU,38923919
BOL,-655952225
BRA,-3677950214
BRB,28931054
BRN,140969759
BTN,-38196258
BWA,106408816
CAF,-408949859
CAN,26182823638
CHE,3224940961
CHL,702322099
CHN,-28037013504
CIV,-1231897831
CMR,-1411905794
COD,-5055515114
COG,-299208814
COL,-904520900
COM,-34877037
CPV,-40230202
CRI,-35268093
CUB,319523006
CYM,14001513
CYP,241871170
CZE,10249855596
DEU,73068937407
DJI,-14315987
DMA,-10388099
DNK,3382097209
DOM,-105038269
DZA,-2030675756
ECU,-321754821
EGY,-2194215205
ERI,-351155119
ESP,8877824566
EST,1482389138
ETH,-6851448744
FIN,2610412219
FJI,-35059486
FRA,29485017010
GAB,-29878160
GBR,66457541907
GEO,-281518481
GHA,-1570725325
GIN,-971101817
GMB,-110050698
GNB,-120687078
GNQ,-39709604
GRC,3175545914
GRD,-16744539
GTM,-752784786
GUY,2072262548
HKG,7432466574
HND,-357685417
HRV,294265069
HTI,-940236015
HUN,2426070879
IDN,-14230169037
IND,-89243733580
IRL,1242238039
IRN,6596827235
IRQ,56572223
ISL,158706760
ISR,1888775088
ITA,15171676256
JAM,102131959
JOR,259554911
JPN,48716826802
KAZ,12228390822
KEN,-2255010063
KGZ,-107164630
KHM,-1757858116
KIR,-8000887
KNA,-9782290
KOR,10415962112
KWT,2377729589
LAO,-726950220
LBN,369658972
LBR,-324974737
LBY,469711115
LCA,-14636014
LIE,1475852
LKA,-1887486616
LSO,-196749335
LTU,736143058
LUX,1214131458
LVA,360403975
MAC,47823752
MAR,-1917536561
MCO,703816
MDA,-40713266
MDG,-1655163956
MDV,-8867978
MEX,6978865059
MHL,-2670770
MKD,226451404
MLI,-1438066165
MLT,68637193
MMR,-5181403873
MNE,-73236502
MNG,19634751
MOZ,-2059602926
MRT,-235457499
MUS,-22974265
MWI,-1012699986
MYS,1821112205
NAM,9467856
NCL,14395879
NER,-1180001137
NGA,-11131370826
NIC,-335535672
NLD,8552987990
NOR,2638217466
NPL,-2801149702
NRU,108389
NZL,1321146746
OMN,399525853
PAK,-10547608539
PAN,109661183
PER,-925572266
PHL,-4647590177
PLW,-760054
PNG,-511429910
POL,17155460268
PRK,1419354318
PRT,966561562
PRY,-273000575
PYF,-3741436
QAT,931033738
ROU,3550660565
RUS,78155427697
RWA,-883311080
SAU,6309292053
SDN,-1517116814
SEN,-876085570
SGP,2993959845
SLB,-22788214
SLE,-637379948
SLV,-387683781
SMR,-1309329
SOM,-978607473
SRB,226322396
SSD,-593650546
STP,-13638115
SUR,41271856
SVK,3150884187
SVN,418599631
SWE,4176306358
SWZ,-9532782
SYC,10191671
SYR,-175971923
TCD,-911709898
TGO,-496231190
THA,-1376833594
TJK,-429343614
TKM,1550853862
TLS,-120380227
TON,-8184394
TTO,477540441
TUN,-314474245
TUR,2651663130
TUV,-1175417
TWN,-878663091
TZA,-3176972546
UGA,-2231146537
UKR,20678623098
URY,-38671571
USA,379223798164
UZB,2573682305
VAT,-105879
VCT,-13750632
VEN,4573907489
VGB,8427754
VNM,-6370107432
VUT,-11351377
WSM,-15523140
YEM,-1317680714
ZAF,11380504161
ZMB,-593687081
ZWE,-615405367
