iso,loss,loss_pcap
AGO,-166289,-5577
AIA,-24,
ALB,-23263,-8096
ARE,-1232322,-129893
ARG,-59374,-1348
ARM,-12748,-4329
ATG,-206,-2160
AZE,-174074,-17665
BDI,-4263,-394
BEN,-5657,-506
BFA,-17028,-887
BGD,-377809,-2366
BGR,-227691,-32178
BHR,-14685,-9829
BHS,16786,43969
BIH,-30305,-9042
BLR,-203355,-21410
BLZ,-4333,-11530
BOL,-49841,-4453
BRA,-1112776,-5354
BRB,-4159,-14532
BRN,-272365,-641654
BTN,-701,-940
BWA,-55164,-25016
CAF,-3518,-765
CHL,-377265,-20425
CHN,-18759544,-13531
CIV,-131995,-5401
CMR,-58518,-2382
COG,-22388,-4381
COL,-493698,-10096
COM,-945,-1162
CPV,-1067,-1985
CRI,-96502,-19496
DJI,-508,-538
DMA,-725,-10144
DOM,-126218,-12006
DZA,-1648695,-39834
ECU,-171233,-10201
EGY,-313519,-3251
ETH,-33878,-318
FJI,-11826,-13478
GAB,-34763,-16836
GEO,-9413,-2525
GHA,-114731,-3940
GIN,-42497,-3522
GMB,-2134,-964
GNB,-654,-358
GNQ,-39968,-31670
GRD,-348,-3140
GTM,-100949,-5968
HND,-52116,-5527
HRV,-68880,-16700
HTI,-22183,-2020
HUN,-596662,-60959
IDN,-3501909,-13232
IND,-3378428,-2524
IRN,-788808,-9778
IRQ,-861153,-22932
JAM,-23514,-8050
JOR,-21487,-2197
KAZ,-484471,-26859
KEN,-62667,-1248
KGZ,-17587,-2837
KHM,-118089,-7376
KNA,-332,-6388
KWT,-383231,-94483
LAO,-12030,-1730
LBN,-12102,-1777
LBR,-56516,-12019
LCA,-1094,-6043
LKA,-274990,-12824
LSO,-4873,-2330
MAR,-283173,-7958
MDA,-14337,-4040
MDG,-41835,-1636
MDV,-1314,-2647
MEX,-2837743,-22742
MKD,-41326,-19849
MLI,-11262,-608
MMR,-155971,-2922
MNE,-1592,-2558
MNG,-16499,-5299
MOZ,-13886,-485
MRT,-21507,-5022
MSR,-11,#N/A
MUS,-74486,-58900
MWI,-20235,-1145
MYS,-2358909,-75837
NAM,-20826,-8668
NER,-14533,-673
NGA,-520850,-2729
NIC,-47990,-7516
NPL,-21241,-769
OMN,-133623,-28638
PAK,-569306,-2738
PAN,-14508,-3533
PER,-324133,-10308
PHL,-1316223,-12515
POL,-1427740,-37597
PRY,-20779,-3026
PSE,-5406,-1214
QAT,-305710,-112198
ROU,-603783,-30825
RUS,-4057100,-28077
RWA,-5932,-495
SAU,-2771901,-83745
SDN,-63830,-1564
SEN,-19669,-1276
SLE,-6222,-831
SLV,-47691,-7466
SRB,-58034,-8266
STP,-235,-1137
SUR,-11326,-19853
SWZ,-4067,-3616
SXM,-24,-585
SYC,-3061,-31936
SYR,-93631,-5486
TCD,-22474,-1497
TGO,-9544,-1240
THA,-2221686,-32101
TJK,-29137,-3281
TKM,-34244,-5948
TTO,-126751,-91579
TUN,-291788,-25521
TUR,-984435,-12138
TZA,-43805,-801
UGA,-25210,-612
UKR,-411369,-9176
URY,-24397,-7099
UZB,-40481,-1250
VCT,-718,-6533
VEN,-338451,-11516
VNM,-1157560,-12237
YEM,-22291,-801
ZAF,-422306,-7409
ZMB,-76395,-4533
ZWE,-47167,-3313
