year,Gigatonnes
1900,7.281
1901,7.403
1902,7.501
1903,7.692
1904,7.779
1905,7.972
1906,8.137
1907,8.397
1908,8.407
1909,8.588
1910,8.747
1911,8.857
1912,9.06
1913,9.301
1914,9.111
1915,9.143
1916,9.381
1917,9.509
1918,9.555
1919,9.294
1920,9.684
1921,9.431
1922,9.775
1923,10.148
1924,10.324
1925,10.522
1926,10.681
1927,10.986
1928,11.293
1929,11.456
1930,11.305
1931,11.019
1932,10.713
1933,10.879
1934,11.257
1935,11.498
1936,11.851
1937,12.334
1938,12.163
1939,12.537
1940,12.846
1941,13.084
1942,13.098
1943,13.223
1944,13.15
1945,12.643
1946,13.053
1947,13.694
1948,14.154
1949,14.331
1950,14.989
1951,15.639
1952,16.08
1953,16.51
1954,17.054
1955,17.706
1956,18.456
1957,19.017
1958,19.535
1959,20.341
1960,21.274
1961,21.826
1962,22.678
1963,23.69
1964,25.052
1965,25.628
1966,26.987
1967,27.503
1968,28.824
1969,29.618
1970,31.197
1971,31.992
1972,33.649
1973,34.982
1974,35.598
1975,35.456
1976,36.29
1977,37.035
1978,38.219
1979,39.109
1980,39.162
1981,38.868
1982,39.076
1983,39.169
1984,40.929
1985,41.422
1986,42.431
1987,43.516
1988,45.267
1989,45.628
1990,45.962
1991,46.949
1992,47.069
1993,48.425
1994,49.754
1995,52.703
1996,53.464
1997,54.094
1998,55.372
1999,56.2
2000,57.171
2001,57.55
2002,58.134
2003,60.883
2004,63.825
2005,66.436
2006,69.897
2007,72.753
2008,73.879
2009,75.184
2010,78.56
2011,83.249
2012,84.915
2013,87.873
2014,89.291
2015,88.907
2016,89.791
2017,92.065
