country,iso3c,date,value,fairShare,income
Afghanistan,AFG,1970,27532826,84278632,L
Afghanistan,AFG,1971,27277090,87288244,L
Afghanistan,AFG,1972,26576524,90233502,L
Afghanistan,AFG,1973,29010134,96215380,L
Afghanistan,AFG,1974,30268738,96578583,L
Afghanistan,AFG,1975,31403548,95291498,L
Afghanistan,AFG,1976,34292402,99362826,L
Afghanistan,AFG,1977,33280554,102670676,L
Afghanistan,AFG,1978,33935609,106767695,L
Afghanistan,AFG,1979,33520246,107566538,L
Afghanistan,AFG,1980,33359038,104845376,L
Afghanistan,AFG,1981,33987929,101295128,L
Afghanistan,AFG,1982,33738265,97479389,L
Afghanistan,AFG,1983,32044071,94332470,L
Afghanistan,AFG,1984,31053999,94258765,L
Afghanistan,AFG,1985,28552761,92576337,L
Afghanistan,AFG,1986,26738534,92462872,L
Afghanistan,AFG,1987,27657461,93337487,L
Afghanistan,AFG,1988,27516002,95445049,L
Afghanistan,AFG,1989,27301491,97745405,L
Afghanistan,AFG,1990,29049241,101183888,L
Afghanistan,AFG,1991,29350017,104978057,L
Afghanistan,AFG,1992,28367592,115405955,L
Afghanistan,AFG,1993,27749793,123230495,L
Afghanistan,AFG,1994,25444794,134927500,L
Afghanistan,AFG,1995,26603746,145536851,L
Afghanistan,AFG,1996,25297556,153621951,L
Afghanistan,AFG,1997,22848316,158133769,L
Afghanistan,AFG,1998,17923066,160050057,L
Afghanistan,AFG,1999,16393190,162419938,L
Afghanistan,AFG,2000,12215258,165995162,L
Afghanistan,AFG,2001,18505972,170974802,L
Afghanistan,AFG,2002,20989321,176973544,L
Afghanistan,AFG,2003,23277957,183383971,L
Afghanistan,AFG,2004,25105792,189379289,L
Afghanistan,AFG,2005,27951050,194416434,L
Afghanistan,AFG,2006,26652619,198320508,L
Afghanistan,AFG,2007,30444961,201361504,L
Afghanistan,AFG,2008,27352197,203943912,L
Afghanistan,AFG,2009,34494330,206701725,L
Afghanistan,AFG,2010,38743634,210039606,L
Afghanistan,AFG,2011,38363964,214102377,L
Afghanistan,AFG,2012,40704258,218589746,L
Afghanistan,AFG,2013,39833756,223266217,L
Afghanistan,AFG,2014,40799583,227754233,L
Afghanistan,AFG,2015,41647056,231807514,L
Afghanistan,AFG,2016,42537783,235354821,L
Afghanistan,AFG,2017,43428754,238528125,L
