percentile,change
1,1
2,60
3,118
4,177
5,235
6,294
7,352
8,411
9,469
10,528
11,586
12,645
13,703
14,762
15,820
16,876
17,932
18,988
19,1044
20,1100
21,1155
22,1211
23,1267
24,1323
25,1379
26,1430
27,1480
28,1531
29,1581
30,1632
31,1683
32,1733
33,1784
34,1834
35,1885
36,1915
37,1944
38,1974
39,2004
40,2034
41,2063
42,2093
43,2123
44,2152
45,2182
46,2203
47,2224
48,2245
49,2266
50,2288
51,2309
52,2330
53,2351
54,2372
55,2393
56,2435
57,2477
58,2519
59,2561
60,2604
61,2646
62,2688
63,2730
64,2772
65,2814
66,2916
67,3019
68,3121
69,3223
70,3326
71,3428
72,3530
73,3632
74,3735
75,3837
76,4087
77,4337
78,4587
79,4837
80,5087
81,5336
82,5586
83,5836
84,6086
85,6336
86,6586
87,6836
88,7086
89,7336
90,7586
91,8817
92,9777
93,10933
94,12250
95,13714
96,15719
97,19990
98,25674
99,36001
100,142480
