year,ADV,EMR
1960,88753,1201
1961,95231,1210
1962,105024,1273
1963,115024,1361
1964,128575,1538
1965,141471,1710
1966,156946,1854
1967,169153,1926
1968,188117,2257
1969,206807,2573
1970,241001,3066
1971,256235,3428
1972,281723,3818
1973,314405,4331
1974,316514,4829
1975,314123,5151
1976,342906,5789
1977,368721,6247
1978,399074,6468
1979,427276,7043
1980,447229,7768
1981,460742,7886
1982,460734,7826
1983,487321,7743
1984,532088,8181
1985,569362,8618
1986,603414,9147
1987,643338,10200
1988,701488,10889
1989,752225,15209
1990,788828,17243
1991,803595,17775
1992,828562,18216
1993,843254,19104
1994,892545,20093
1995,934656,21520
1996,985339,23482
1997,1076761,25508
1998,1131851,26468
1999,1205673,28009
2000,1296884,31064
2001,1327887,32792
2002,1361239,35184
2003,1409534,39029
2004,1492511,44621
2005,1568238,50441
2006,1652958,58088
2007,1729914,67401
2008,1725038,74561
2009,1603027,77681
2010,1686703,88594
2011,1738329,98858
2012,1773470,107890
2013,1815170,117680
2014,1881109,127507
2015,1964898,137067
2016,2024816,147657
2017,2114839,160282
2018,2205037,173440
2019,2274313,185224
2020,2065191,177160
