year,ADV,EAS,ECS,LCN,MEA,SAS,SSF,USA
1960,9487,333,2510,3257,1544,323,1392,19135
1961,9931,285,2478,3363,1565,335,1372,19254
1962,10339,279,2554,3410,1560,339,1421,20116
1963,10851,290,2719,3379,1697,349,1475,20701
1964,11470,314,2800,3526,1802,368,1512,21600
1965,11876,339,2697,3610,1921,358,1544,22697
1966,12383,356,2926,3689,1801,354,1525,23894
1967,13007,342,3001,3747,1920,367,1434,24227
1968,13788,339,3129,3913,2572,376,1440,25137
1969,14663,367,3187,4076,2778,389,1537,25664
1970,15663,405,3252,4182,3272,402,1646,25279
1971,16111,421,3350,4367,3577,395,1730,25784
1972,16831,431,3507,4569,4063,380,1731,26851
1973,17757,456,3550,4823,4448,385,1759,28097
1974,17894,469,3675,5017,4785,386,1846,27691
1975,17785,491,3853,5082,4906,403,1788,27363
1976,18474,497,4152,5238,5502,404,1832,28565
1977,19001,526,4216,5369,5557,419,1831,29586
1978,19589,566,4211,5481,5140,434,1772,30895
1979,20311,598,4126,5754,5251,413,1792,31523
1980,21006,633,3789,6010,5140,429,1798,31142
1981,21186,657,3900,5927,5061,446,1581,31621
1982,21419,688,3951,5785,4748,451,1477,30756
1983,21814,728,4057,5555,4437,470,1399,31873
1984,22439,774,4236,5647,4255,478,1390,33885
1985,23120,822,4145,5710,4079,492,1377,34986
1986,23739,866,4121,5811,3995,504,1351,35865
1987,24491,928,3557,5879,3856,513,1352,36775
1988,25621,1001,3645,5795,3898,544,1328,37965
1989,26515,1040,5816,5785,3890,561,1323,38989
1990,27045,1076,5437,5656,4178,578,1317,39279
1991,27492,1145,5171,5722,4237,578,1285,38715
1992,27510,1255,4676,5762,4470,598,1241,39527
1993,27467,1374,4452,5899,4483,611,1194,40083
1994,28092,1504,4049,6114,4470,635,1174,41189
1995,28412,1631,4033,6059,4469,666,1182,41794
1996,29006,1757,4071,6207,4587,696,1210,42869
1997,29790,1863,4189,6433,4655,708,1224,44212
1998,30222,1895,4168,6498,4779,733,1222,45658
1999,30936,1995,4271,6433,4796,773,1216,47282
2000,32033,2126,4585,6572,5113,790,1224,48689
2001,32466,2253,4712,6501,5091,810,1243,48691
2002,32774,2417,4951,6455,5073,817,1288,49081
2003,33119,2610,5251,6537,5245,861,1305,50054
2004,33895,2825,5653,6811,5571,910,1356,51476
2005,34531,3081,6017,7010,5734,962,1402,52796
2006,35419,3396,6472,7298,5945,1019,1449,53782
2007,36337,3791,6936,7606,6116,1076,1499,54273
2008,36278,4087,7199,7808,6278,1094,1545,53688
2009,34728,4381,6833,7566,6193,1153,1551,51870
2010,35639,4782,7118,7977,6365,1221,1599,52760
2011,36215,5155,7480,8250,6471,1266,1624,53190
2012,36296,5498,7689,8370,6565,1318,1637,53989
2013,36559,5849,7918,8526,6590,1379,1655,54604
2014,37042,6206,8059,8555,6645,1455,1690,55574
2015,37646,6572,8138,8512,6677,1543,1691,56863
2016,38172,6948,8257,8408,6859,1641,1673,57419
2017,38982,7357,8563,8480,6830,1728,1669,58388
2018,39566,7784,8831,8530,6793,1818,1670,59822
2019,40019,8186,9036,8508,7116,1869,1668,60837
2020,37770,8258,8838,7851,6959,1743,1591,58560
