category,EAP,LCN,MEA,SAS,SSF,World
1981,1.12,1.47,,1.48,,1.28
1982,1.17,1.47,,1.49,,1.31
1983,1.24,1.45,,1.51,,1.35
1984,1.33,1.46,,1.52,,1.4
1985,1.37,1.47,1.9,1.55,,1.43
1986,1.4,1.52,1.91,1.56,,1.44
1987,1.43,1.48,1.91,1.57,,1.46
1988,1.62,1.71,2.19,1.74,,1.65
1989,1.37,1.42,1.92,1.6,,1.44
1990,1.4,1.45,1.93,1.6,1.23,1.45
1991,1.4,1.46,1.82,1.6,1.21,1.45
1992,1.55,1.71,2.17,1.78,1.31,1.62
1993,1.58,1.72,2.22,1.79,1.3,1.63
1994,1.64,1.74,2.24,1.8,1.29,1.66
1995,1.69,1.75,2.23,1.82,1.29,1.69
1996,1.74,1.7,2.25,1.83,1.31,1.72
1997,1.72,1.69,2.27,,1.32,1.71
1998,1.69,1.69,2.3,,1.33,1.7
1999,1.8,1.81,2.42,,1.38,1.79
2000,1.84,1.8,2.43,,1.39,1.8
2001,1.86,1.82,2.44,,1.41,1.81
2002,1.99,2.03,2.62,1.98,1.5,1.93
2003,2.05,2.03,2.57,2,1.51,1.95
2004,2.12,2.06,2.61,2.01,1.57,1.98
2005,2.4,2.32,2.89,2.17,1.7,2.19
2006,2.39,2.37,2.91,2.19,1.72,2.19
2007,2.61,2.65,3.16,2.32,1.83,2.37
2008,2.63,2.67,3.17,2.34,1.85,2.38
2009,2.68,2.7,3.2,2.37,1.85,2.4
2010,2.94,2.98,3.48,2.54,1.97,2.6
2011,3.05,3.01,3.47,2.66,2.02,2.68
2012,3.31,3.35,3.72,2.81,2.14,2.87
2013,3.66,3.52,3.83,2.92,2.2,3.02
2014,3.83,3.69,3.91,3.03,2.27,3.13
2015,4.04,3.85,3.93,,2.31,3.24
2016,4.22,3.96,3.94,,2.35,3.35
2017,4.29,3.96,3.83,,2.37,3.38
