year,poor_pop_world,pct_poor,all_poor_minus_china,pct_poor_minus_china
1981,3380,75,2386,68
1982,3451,75,2443,68
1983,3521,75,2499,68
1984,3582,75,2545,68
1985,3642,75,2590,68
1986,3685,75,2617,68
1987,3766,75,2682,68
1988,3835,75,2735,68
1989,3895,75,2779,68
1990,4005,76,2874,69
1991,4096,76,2951,70
1992,4188,77,3029,71
1993,4284,77,3113,71
1994,4350,77,3168,72
1995,4395,77,3205,71
1996,4473,77,3273,72
1997,4526,77,3318,71
1998,4585,77,3370,72
1999,4675,77,3452,72
2000,4709,77,3486,72
2001,4748,77,3527,72
2002,4785,76,3565,71
2003,4817,76,3608,71
2004,4830,75,3633,71
2005,4826,74,3641,70
2006,4818,73,3653,69
2007,4812,72,3667,68
2008,4816,71,3691,68
2009,4838,71,3742,68
2010,4817,70,3751,67
2011,4805,69,3767,67
2012,4780,67,3791,66
2013,4759,66,3831,66
2014,4749,65,3874,66
2015,4752,65,3922,66
