year,poor_pop_world,pct_poor,all_poor_minus_china,pct_poor_minus_china
1981,3197,71,2203,63
1982,3266,71,2258,63
1983,3336,71,2314,63
1984,3395,71,2359,63
1985,3452,71,2401,63
1986,3492,71,2426,63
1987,3572,71,2490,63
1988,3640,71,2543,64
1989,3696,71,2584,63
1990,3801,72,2673,64
1991,3888,72,2749,65
1992,3975,73,2825,66
1993,4066,73,2905,67
1994,4131,73,2964,67
1995,4163,73,2991,66
1996,4236,73,3058,67
1997,4278,73,3097,67
1998,4332,73,3147,67
1999,4420,73,3231,68
2000,4434,73,3257,67
2001,4459,72,3294,67
2002,4472,71,3320,67
2003,4491,71,3363,66
2004,4481,70,3378,66
2005,4450,68,3372,65
2006,4423,67,3376,64
2007,4396,66,3379,63
2008,4382,65,3397,63
2009,4384,64,3439,62
2010,4332,63,3428,61
2011,4293,61,3429,61
2012,4249,60,3443,60
2013,4192,58,3466,60
2014,4161,57,3498,59
2015,4138,56,3527,59
