year,region,povline,poor_pop
2018,EAP,7.5,834.88
2017,EAP,7.5,914.81
2016,EAP,7.5,975.23
2015,EAP,7.5,1037.93
2014,EAP,7.5,1099.23
2013,EAP,7.5,1165.51
2012,EAP,7.5,1249.14
2011,EAP,7.5,1316.52
2010,EAP,7.5,1367.36
2009,EAP,7.5,1433.17
2008,EAP,7.5,1476.56
2007,EAP,7.5,1504.51
2006,EAP,7.5,1541.36
2005,EAP,7.5,1567.38
2004,EAP,7.5,1604.42
2003,EAP,7.5,1621.27
2002,EAP,7.5,1638.5
2001,EAP,7.5,1661.28
2000,EAP,7.5,1667.5
1999,EAP,7.5,1672.49
1998,EAP,7.5,1666.13
1997,EAP,7.5,1650.47
1996,EAP,7.5,1638.43
1995,EAP,7.5,1632.49
1994,EAP,7.5,1623.39
1993,EAP,7.5,1611.35
1992,EAP,7.5,1597.02
1991,EAP,7.5,1580.76
1990,EAP,7.5,1560.8
1989,EAP,7.5,1539.65
1988,EAP,7.5,1518.74
1987,EAP,7.5,1495.53
1986,EAP,7.5,1471.4
1985,EAP,7.5,1447.39
1984,EAP,7.5,1424.13
1983,EAP,7.5,1402.84
1982,EAP,7.5,1380.05
1981,EAP,7.5,1357.39
2018,LCN,7.5,219.83
2017,LCN,7.5,220.76
2016,LCN,7.5,237.93
2015,LCN,7.5,237.74
2014,LCN,7.5,239.23
2013,LCN,7.5,239.44
2012,LCN,7.5,242.74
2011,LCN,7.5,251.32
2010,LCN,7.5,257.71
2009,LCN,7.5,266.63
2008,LCN,7.5,265.55
2007,LCN,7.5,270.72
2006,LCN,7.5,277.24
2005,LCN,7.5,298.82
2004,LCN,7.5,306.7
2003,LCN,7.5,311.57
2002,LCN,7.5,310.29
2001,LCN,7.5,303.79
2000,LCN,7.5,300.93
1999,LCN,7.5,306.38
1998,LCN,7.5,297.51
1997,LCN,7.5,295.17
1996,LCN,7.5,296.22
1995,LCN,7.5,288.21
1994,LCN,7.5,284.63
1993,LCN,7.5,288.2
1992,LCN,7.5,284.78
1991,LCN,7.5,277.04
1990,LCN,7.5,271.76
1989,LCN,7.5,251.89
1988,LCN,7.5,254.94
1987,LCN,7.5,244.78
1986,LCN,7.5,225.16
1985,LCN,7.5,245.33
1984,LCN,7.5,244.63
1983,LCN,7.5,238.97
1982,LCN,7.5,222.77
1981,LCN,7.5,214.65
2018,MEA,7.5,233.81
2017,MEA,7.5,225.08
2016,MEA,7.5,219.9
2015,MEA,7.5,216.39
2014,MEA,7.5,211.21
2013,MEA,7.5,206.94
2012,MEA,7.5,204.62
2011,MEA,7.5,201.48
2010,MEA,7.5,201.02
2009,MEA,7.5,203.05
2008,MEA,7.5,203.26
2007,MEA,7.5,201.13
2006,MEA,7.5,201.95
2005,MEA,7.5,199.57
2004,MEA,7.5,203.31
2003,MEA,7.5,204.23
2002,MEA,7.5,201.86
2001,MEA,7.5,199.5
2000,MEA,7.5,200.18
1999,MEA,7.5,197.24
1998,MEA,7.5,196.48
1997,MEA,7.5,199.85
1996,MEA,7.5,197.81
1995,MEA,7.5,193.18
1994,MEA,7.5,187.4
1993,MEA,7.5,184.35
1992,MEA,7.5,179.38
1991,MEA,7.5,176.64
1990,MEA,7.5,171.19
1989,MEA,7.5,168.58
1988,MEA,7.5,164.43
1987,MEA,7.5,159.11
1986,MEA,7.5,153.23
1985,MEA,7.5,148.54
1981,MEA,7.5,129.78
1982,MEA,7.5,134.47
1983,MEA,7.5,139.16
1984,MEA,7.5,143.85
2014,SAS,7.5,1587.14
2013,SAS,7.5,1579.0
2012,SAS,7.5,1568.42
2011,SAS,7.5,1557.18
2010,SAS,7.5,1551.88
2009,SAS,7.5,1539.04
2008,SAS,7.5,1518.06
2007,SAS,7.5,1497.2
2006,SAS,7.5,1477.55
2005,SAS,7.5,1455.43
2004,SAS,7.5,1437.56
2003,SAS,7.5,1417.02
2002,SAS,7.5,1395.31
1996,SAS,7.5,1254.35
1995,SAS,7.5,1231.72
1994,SAS,7.5,1209.02
1993,SAS,7.5,1185.15
1992,SAS,7.5,1160.41
1991,SAS,7.5,1136.36
1990,SAS,7.5,1110.81
1989,SAS,7.5,1086.1
1988,SAS,7.5,1061.64
1987,SAS,7.5,1039.37
1986,SAS,7.5,1016.82
1985,SAS,7.5,994.6
1984,SAS,7.5,973.57
1983,SAS,7.5,952.21
1982,SAS,7.5,930.93
1981,SAS,7.5,908.84
1997,SAS,7.5,1277.8433333333332
1998,SAS,7.5,1301.3366666666666
1999,SAS,7.5,1324.83
2000,SAS,7.5,1348.3233333333333
2001,SAS,7.5,1371.8166666666666
2015,SAS,7.5,1595.2800000000002
2016,SAS,7.5,1603.4200000000003
2017,SAS,7.5,1611.5600000000004
2018,SAS,7.5,1619.7000000000005
2018,SSF,7.5,990.88
2017,SSF,7.5,966.43
2016,SSF,7.5,942.14
2015,SSF,7.5,916.92
2014,SSF,7.5,892.6
2013,SSF,7.5,869.99
2012,SSF,7.5,846.6
2011,SSF,7.5,826.99
2010,SSF,7.5,807.93
2009,SSF,7.5,788.87
2008,SSF,7.5,768.34
2007,SSF,7.5,750.18
2006,SSF,7.5,732.73
2005,SSF,7.5,716.6
2004,SSF,7.5,699.43
2003,SSF,7.5,682.75
2002,SSF,7.5,663.9
2001,SSF,7.5,646.81
2000,SSF,7.5,630.42
1999,SSF,7.5,613.75
1998,SSF,7.5,597.14
1997,SSF,7.5,581.03
1996,SSF,7.5,566.0
1995,SSF,7.5,552.9
1994,SSF,7.5,539.03
1993,SSF,7.5,524.22
1992,SSF,7.5,507.53
1991,SSF,7.5,491.41
1990,SSF,7.5,476.59
1981,SSF,7.5,343.2099999999995
1982,SSF,7.5,358.0299999999996
1983,SSF,7.5,372.8499999999996
1984,SSF,7.5,387.6699999999997
1985,SSF,7.5,402.4899999999997
1986,SSF,7.5,417.3099999999998
1987,SSF,7.5,432.1299999999998
1988,SSF,7.5,446.9499999999999
1989,SSF,7.5,461.7699999999999
2018,EAP,10.0,1153.19
2017,EAP,10.0,1230.01
2016,EAP,10.0,1287.42
2015,EAP,10.0,1335.2
2014,EAP,10.0,1386.48
2013,EAP,10.0,1438.28
2012,EAP,10.0,1497.83
2011,EAP,10.0,1553.94
2010,EAP,10.0,1587.66
2009,EAP,10.0,1630.37
2008,EAP,10.0,1659.83
2007,EAP,10.0,1676.28
2006,EAP,10.0,1696.71
2005,EAP,10.0,1709.59
2004,EAP,10.0,1727.38
2003,EAP,10.0,1732.17
2002,EAP,10.0,1736.78
2001,EAP,10.0,1740.61
2000,EAP,10.0,1735.09
1999,EAP,10.0,1729.2
1998,EAP,10.0,1716.01
1997,EAP,10.0,1697.87
1996,EAP,10.0,1682.39
1995,EAP,10.0,1670.26
1994,EAP,10.0,1655.51
1993,EAP,10.0,1638.23
