iso,co2,overshoot,region,global_overshoot,quantile
ABW,31891595.2,25647874.822970707,LCN,0.0,0
AFG,202305325.0,,SAS,0.0,0
AGO,330632697.0,,SSF,0.0,0
ALB,310171792.0,,ECS,0.0,0
AND,11016300.0,9766242.35205546,ECS,0.0,0
ARE,3853416267.6,3589039479.11172,MEA,0.38,1
ARG,7640311840.0,3115437094.544882,LCN,0.33,2
ARM,231677911.6,,ECS,0.0,0
ATG,29025771.839999992,14627551.6774563,LCN,0.0,0
AUS,16842307840.0,14382957149.408289,EAS,1.51,2
AUT,6246992530.0,4371512658.787103,EU28,0.46,2
AZE,2295658854.5,1238976969.0446253,ECS,0.13,1
BDI,36275096.5,,SSF,0.0,0
BEL,11738698550.0,9450462319.933455,EU28,0.99,2
BEN,101636266.19999999,,SSF,0.0,0
BFA,81831478.39999999,,SSF,0.0,0
BGD,1336841710.0,,SAS,0.0,1
BGR,3351512170.0,1670621237.8490882,EU28,0.18,1
BHR,581170654.0,510835792.20255494,MEA,0.05,0
BHS,209348949.0,174936092.35492656,LCN,0.02,0
BIH,919607567.0,183259071.35026714,ECS,0.02,0
BLR,2845318589.65,896300147.2933011,ECS,0.09,1
BLZ,31392635.2,4378151.841258764,LCN,0.0,0
BMU,55971727.800000004,51213487.23463155,NAC,0.01,0
BOL,407766170.0,,LCN,0.0,0
BRA,14785133000.0,,LCN,0.0,2
BRB,87305392.1,28509083.884865195,LCN,0.0,0
BRN,177251879.2,149055065.57529533,EAS,0.02,0
BTN,35534181.1,,SAS,0.0,0
BWA,267570111.1,105243830.64483377,SSF,0.01,0
CAF,25133894.900000002,,SSF,0.0,0
CAN,30219626600.0,26153642840.86298,NAC,2.75,3
CHE,4542521480.0,3215416579.742582,ECS,0.34,1
CHL,2608129970.0,688545604.6497383,LCN,0.07,1
CHN,159637334500.0,,EAS,0.0,4
CIV,295405471.0,,SSF,0.0,0
CMR,248738034.4,,SSF,0.0,0
COD,281796467.0,,SSF,0.0,0
COG,61392207.1,,SSF,0.0,0
COL,3368033980.0,,LCN,0.0,1
COM,319033.1,,SSF,0.0,0
CPV,17571230.4,,SSF,0.0,0
CRI,335210349.0,,LCN,0.0,0
CUB,1832469500.0,308586384.7303861,LCN,0.03,1
CYM,23099038.000000004,20559813.433658868,LCN,0.0,0
CYP,374488871.0,240912517.5102259,EU28,0.03,0
CZE,12680892700.0,10232282383.006655,EU28,1.08,2
DEU,91322265700.0,72936989756.40688,EU28,7.68,4
DJI,41522559.6,,MEA,0.0,0
DMA,281506.4,,LCN,0.0,0
DNK,4421475420.0,3374583865.9333196,EU28,0.36,1
DOM,734804990.0,,LCN,0.0,0
DZA,2141084640.0,,MEA,0.0,1
ECU,978356198.0,,LCN,0.0,0
EGY,5492214490.0,,MEA,0.0,2
ERI,35231736.8,,SSF,0.0,0
ESP,16527774400.0,8822525450.476933,EU28,0.93,2
EST,1762083450.0,1480367314.1080198,EU28,0.16,1
ETH,102275042.80000001,,SSF,0.0,0
FIN,3620703110.0,2603109139.861162,EU28,0.27,1
FJI,63510486.5,,EAS,0.0,0
FRA,42648679800.0,29389860973.08183,EU28,3.09,3
GAB,129556580.7,,SSF,0.0,0
GBR,79347326700.0,66364365649.66516,EU28,6.99,4
GEO,603023013.7,,ECS,0.0,0
GHA,366315822.0,,SSF,0.0,0
GIN,84492745.69999999,,SSF,0.0,0
GMB,18566866.2,,SSF,0.0,0
GNB,784873.0,,SSF,0.0,0
GNQ,1101016.0,,SSF,0.0,0
GRC,5140407970.0,3161342534.9028945,EU28,0.33,2
GRD,607574.0,,LCN,0.0,0
GTM,467915435.0,,LCN,0.0,0
GUY,2201811070.0,2071326082.3038902,LCN,0.22,1
HKG,8090786660.0,7427707782.387841,EAS,0.78,2
HND,268681696.0,,LCN,0.0,0
HRV,1335069690.0,383568204.02540874,EU28,0.04,1
HTI,95908431.1,,LCN,0.0,0
HUN,4842397500.0,2414276942.5091295,EU28,0.25,1
IDN,10685207080.0,,EAS,0.0,2
IND,43211962700.0,,SAS,0.0,3
IRL,2231270040.0,1235088633.235586,EU28,0.13,1
IRN,15095718290.0,8011448739.12382,MEA,0.84,2
IRQ,2974587252.0,630845946.3680856,MEA,0.07,1
ISL,203762399.0,158381067.0594333,ECS,0.02,0
ISR,2463143070.0,1884623159.7851875,MEA,0.2,1
ITA,27362252800.0,15083554358.032145,EU28,1.59,3
JAM,484825500.0,99365586.16058514,LCN,0.01,0
JOR,695137408.0,256406220.12492716,MEA,0.03,0
JPN,70045678810.0,48562647143.37959,EAS,5.11,4
KAZ,14535013800.0,12211716960.007917,ECS,1.29,2
KEN,645265518.0,,SSF,0.0,0
KGZ,517512047.0,,ECS,0.0,0
KHM,139853027.288,,EAS,0.0,0
KIR,341292.0,,EAS,0.0,0
KNA,256226.49000000002,,LCN,0.0,0
KOR,16697056930.0,10370558025.136944,EAS,1.09,2
KWT,2555569080.0,2379681241.466775,MEA,0.25,1
LAO,81394776.3177,,EAS,0.0,0
LBN,803550456.0,366522504.8144393,MEA,0.04,0
LBR,25623634.309999995,,SSF,0.0,0
LBY,1028636075.0,465670820.06486845,MEA,0.05,1
LCA,770953.0,,LCN,0.0,0
LIE,4666659.0,,ECS,0.0,0
LKA,550817834.0,,SAS,0.0,0
LSO,52053020.5,,SSF,0.0,0
LTU,1392032015.0,731401840.4301653,EU28,0.08,1
LUX,1295711257.0,1213541742.5096455,EU28,0.13,1
LVA,842418949.0,356919638.0426879,EU28,0.04,0
MAC,155357657.0,125343700.43472672,EAS,0.01,0
MAR,1417391293.0,,MEA,0.0,1
MCO,5140100.0,1909965.8946696762,ECS,0.0,0
MDA,604911944.27,,ECS,0.0,0
MDG,111136521.80000001,,SSF,0.0,0
MDV,24619544.13,,SAS,0.0,0
MEX,17794657000.0,6900681052.918564,LCN,0.73,2
MHL,374405.0,,EAS,0.0,0
MKD,614515794.0,261634883.2712027,ECS,0.03,0
MLI,68747479.1,,SSF,0.0,0
MLT,148052950.2,68063121.18661274,EU28,0.01,0
MMR,483631393.0,,EAS,0.0,0
MNE,23215770.0,,ECS,0.0,0
MNG,346263730.1,17273651.622901708,EAS,0.0,0
MOZ,206470434.0,,SSF,0.0,0
MRT,73908940.89999999,,SSF,0.0,0
MUS,147815475.7,,SSF,0.0,0
MWI,88827913.7,,SSF,0.0,0
MYS,4117996950.0,1804508737.3366673,EAS,0.19,1
NAM,196698483.2,8114424.275305018,SSF,0.0,0
NCL,68097633.4,53108852.62658457,EAS,0.01,0
NER,65445128.7,,SSF,0.0,0
NGA,2146303438.0,,SSF,0.0,1
NIC,177420946.0,,LCN,0.0,0
NLD,11129846200.0,8534360680.72014,EU28,0.9,2
NOR,3498301650.0,2632000184.4379873,ECS,0.28,1
NPL,149223699.2,,SAS,0.0,0
NRU,911840.0,326833.3271300066,EAS,0.0,0
NZL,1840762700.0,1317390603.236393,EAS,0.14,1
OMN,647574806.14,397847694.62207323,MEA,0.04,0
PAK,3843256140.0,,SAS,0.0,1
PAN,420695331.0,107412813.5693565,LCN,0.01,0
PER,1917855766.0,,LCN,0.0,1
PHL,2929041000.0,,EAS,0.0,1
PLW,1086404.0,,EAS,0.0,0
PNG,157722237.0,,EAS,0.0,0
POL,25009830100.0,17098683463.341358,EU28,1.8,3
PRK,4477098576.0,1397250832.6881697,EAS,0.15,1
PRT,3026137890.0,951673522.8093772,EU28,0.1,1
PRY,256830810.9,,LCN,0.0,0
PYF,54447859.1,38206553.81031805,EAS,0.0,0
QAT,992093526.0,930592355.9025292,MEA,0.1,0
ROU,7996723390.0,3620135332.788365,EU28,0.38,2
RUS,105137136100.0,77960385292.82565,ECS,8.21,4
RWA,55723715.2,,SSF,0.0,0
SAU,8695173270.0,6707820173.0078745,MEA,0.71,2
SDN,37223860.0,,SSF,0.0,0
SEN,225428956.0,,SSF,0.0,0
SGP,3124562626.0,2737239287.564761,EAS,0.29,1
SLB,420238.0,,EAS,0.0,0
SLE,50985914.099999994,,SSF,0.0,0
SLV,292288121.0,,LCN,0.0,0
SMR,1670938.0,,ECS,0.0,0
SOM,44663585.9,,SSF,0.0,0
SRB,1947680240.0,573661774.2155263,ECS,0.06,1
SSD,4622524.0,,SSF,0.0,0
STP,5828235.66,,SSF,0.0,0
SUR,111670341.0,40762967.14805023,LCN,0.0,0
SVK,4199276770.0,3143305682.3383913,EU28,0.33,1
SVN,837761260.0,456567807.11841846,EU28,0.05,0
SWE,6015410990.0,4163012041.2353563,EU28,0.44,2
SWZ,91614634.49999999,,SSF,0.0,0
SYC,21086500.900000002,10112915.91185961,SSF,0.0,0
SYR,1415349306.0,,MEA,0.0,1
TCD,39079051.599999994,,SSF,0.0,0
TGO,58569974.0,,SSF,0.0,0
THA,5610622820.0,,EAS,0.0,2
TJK,251955529.3,,ECS,0.0,0
TKM,2050269128.0,1547243743.7346888,ECS,0.16,1
TLS,779683.7,,EAS,0.0,0
TON,556859.0,,EAS,0.0,0
TTO,692545560.0,518972630.0032645,LCN,0.05,0
TUN,816507658.0,,MEA,0.0,0
TUR,10486967920.0,2595024140.705676,ECS,0.27,2
TUV,61005.4,,EAS,0.0,0
TWN,439476726.0,,EAS,0.0,0
TZA,279661058.0,,SSF,0.0,0
UGA,181196150.7,,SSF,0.0,0
UKR,30227247800.0,20609599050.963467,ECS,2.17,3
URY,468701408.0,,LCN,0.0,0
USA,420410197000.0,378926074456.1643,NAC,39.89,5
UZB,5277909848.0,2554134282.4091167,ECS,0.27,2
VAT,153456.5,,ECS,0.0,0
VCT,375552.4,,LCN,0.0,0
VEN,7004688250.0,4556336128.406745,LCN,0.48,2
VGB,13561763.32,12128802.019945338,LCN,0.0,0
VNM,2941310768.0,,EAS,0.0,1
VUT,10529594.600000001,,EAS,0.0,0
WSM,9096883.24,,EAS,0.0,0
YEM,590185616.0,,MEA,0.0,0
ZAF,16094137600.0,11346430766.196636,SSF,1.19,2
ZMB,405074242.0,,SSF,0.0,0
ZWE,674408004.0,,SSF,0.0,0
