year,ADV,EMR
1960,10904,694
1961,11268,704
1962,11784,718
1963,12279,735
1964,12931,773
1965,13492,805
1966,14157,828
1967,14671,840
1968,15459,908
1969,16184,954
1970,18929,1026
1971,19445,1072
1972,20305,1122
1973,21377,1186
1974,21383,1240
1975,21213,1269
1976,22059,1337
1977,22717,1373
1978,23514,1377
1979,24248,1417
1980,24381,1472
1981,24680,1472
1982,24616,1453
1983,25210,1423
1984,26235,1457
1985,27071,1480
1986,27764,1513
1987,28582,1602
1988,29762,1639
1989,30706,1994
1990,31588,2126
1991,31770,2138
1992,32191,2133
1993,32319,2155
1994,33117,2174
1995,33855,2230
1996,34603,2299
1997,35512,2373
1998,36249,2387
1999,37236,2429
2000,38466,2536
2001,38814,2580
2002,39147,2649
2003,39683,2757
2004,40669,2928
2005,41527,3085
2006,42483,3279
2007,43328,3496
2008,43099,3642
2009,41369,3664
2010,42321,3871
2011,42844,4049
2012,43122,4198
2013,43486,4348
2014,44088,4477
2015,44855,4584
2016,45367,4697
2017,46228,4838
2018,47038,4889
